Store_Name,Address,lat,lgt,NumPanels,YearlyEnergy,SolarArea,OutputVerificationFlag
Tifton,"1197 US Highway 82 W, Tifton, GA 31793",31.4505872,-83.5315916,56,35137.836,109.959076,0
Toccoa [GA],"605 Big A Rd, Toccoa, GA 30577",34.5746448,-83.31218109999999,184,107002.766,361.2941,0
Tom Hill Sr Blvd,"140 Tom Hill Sr Blvd, Macon, GA 31210",32.9002989,-83.6886147,67,39828.258,131.55818,0
Town Center At Cobb,"400 Ernest W Barrett Pkwy NW, Kennesaw, GA 30144",34.0177099,-84.5644745,18821,11327346,36956.066,1
Towne Lake,"3070 Eagle Dr, Woodstock, GA 30189",34.1111007,-84.5555808,78,47269.64,153.15727,0
Truett's Chick-fil-A - Newnan,"505 Highway 34 E, Newnan, GA 30265",33.3913829,-84.76293679999999,239,138593.19,469.2896,0
Truett's Chick-fil-A - Rome,"264 Shorter Ave NW, Rome, GA 30165",34.2635019,-85.1883477,202,117137.32,396.6381,0
Truett's Chick-fil-A - Stockbridge,"3649 Highway 138 SE, Stockbridge, GA 30281",33.5530804,-84.27176779999999,193,111436.23,378.9661,0
Truett's Chick-fil-A - Woodstock,"9728 Highway 92, Woodstock, GA 30188",34.0857069,-84.52688599999999,224,125136.97,439.8363,0
Truett's Chick-fil-A Catering & Delivery - VA Ave,"801 Virginia Ave, Hapeville, GA 30354",33.6599878,-84.4157379,80,49367.066,157.08438,0
Truett's Grill - Griffin,"1455 N Expressway, Griffin, GA 30223",33.2730184,-84.2928996,152,90534.9,298.46033,0
Truett's Grill - McDonough,"1785 Jonesboro Rd, McDonough, GA 30253",33.4630963,-84.21463779999999,143,84368.24,280.78833,0
Truett's Grill - Morrow,"2042 Mount Zion Rd, Morrow, GA 30260",33.5625407,-84.3232185,113,65728.74,221.8817,0
Truett's Luau,"600 Lanier Ave W Ste 103, Fayetteville, GA 30214",33.4465449,-84.4677301,343,208652.23,673.4993,0
Truist Park,"755 Battery Ave SE, Atlanta, GA 30339",33.889928,-84.4686388,19,8589.278,37.30754,0
Tucker Hugh Howell Road,"4435 Hugh Howell Rd, Tucker, GA 30084",33.8498985,-84.2072209,224,119624.35,439.8363,0
Turner Hill Road,"2985 Turner Hill Rd, Lithonia, GA 30038",33.7033372,-84.0886525,120,75251.266,235.62659,0
Union Grove Crossroads,"1940 Highway 155 N, McDonough, GA 30252",33.5053416,-84.1415761,255,161208.28,500.70648,0
University of Georgia,"45 Baxter St, Athens, GA 30602",33.9504571,-83.3750135,2213,1342814.8,4345.3467,1
University of West Georgia,"Campus Dining, Carrollton, GA 30118",33.5718188,-85.098004,378,232131.94,742.22375,0
Valdosta State University - Student Union,"1500 N Patterson St, Valdosta, GA 31698",30.8471668,-83.2891918,2087,1315139.5,4097.939,1
Victory at Skidaway,"2111 E Victory Dr, Savannah, GA 31404",32.0403145,-81.0634522,85,51747.813,166.90216,0
Vidalia,"2349 E 1st St, Vidalia, GA 30474",32.2074694,-82.3816425,95,57328.06,186.5377,0
Villa Rica,"85 Commerce Dr, Villa Rica, GA 30180",33.7289919,-84.9407013,127,69824.97,249.37146,0
Vine City,"875 Martin Luther King Jr Dr NW, Atlanta, GA 30314",33.7550103,-84.41578799999999,122,69867.71,239.5537,0
Vinings,"2485 Cumberland Pkwy SE, Atlanta, GA 30339",33.864036,-84.4775757,114,65298.063,223.84526,0
Washington Road,"3066 Washington Rd, Augusta, GA 30907",33.5129373,-82.0518513,87,51922.6,170.82927,0
Watson Blvd,"3000 Watson Blvd, Warner Robins, GA 31093",32.6180029,-83.6914223,1238,787768.56,2430.8809,0
Waycross,"2256 Memorial Dr, Waycross, GA 31501",31.1985349,-82.3257837,98,59021.598,192.42838,0
Wesley Chapel Road,"2452 Wesley Chapel Rd, Decatur, GA 30035",33.7158201,-84.2149111,166,101357.69,325.9501,0
West Cobb,"2555 Dallas Hwy SW, Marietta, GA 30064",33.9458146,-84.6263707,88,50073.066,172.79283,0
West Midtown,"1100 Northside Dr NW, Atlanta, GA 30318",33.7848124,-84.40799919999999,110,61202.96,215.99103,0
West Paces Ferry,"3419 Northside Pkwy NW, Atlanta, GA 30327",33.8474365,-84.4288306,45,22614.521,88.35997,0
Windward Parkway,"5180 Windward Pkwy, Alpharetta, GA 30004",34.09262289999999,-84.2765404,137,77549.15,269.00702,0
Windy Hill Road,"2661 Windy Hill Rd SE, Marietta, GA 30067",33.9016453,-84.4781228,134,75935.336,263.11636,0
Woodlawn Square,"1201 Johnson Ferry Rd, Marietta, GA 30068",33.9778687,-84.41824249999999,133,75622.65,261.1528,0
Young Harris College,"228 Maple Street, Young Harris, GA 30582",34.9334709,-83.84591549999999,1233,689763.6,2421.0632,0
Zebulon Road,"5920 Zebulon Rd, Macon, GA 31210",32.8794141,-83.75831640000001,55,33237.9,107.995514,0
